site_id,sample_id,site_code,day,month,year,date,latitude,longitude,waterbody_name,waterbody_type,state,EQR,EQC
LTL411,LTL411_18.4.2018,LTL411_2018,18,4,2018,18/4/2018,55.18233253,23.90653886,,lake,,0.7,Good
LTL414,LTL414_15.5.2013,LTL414_2013,15,5,2013,15/5/2013,55.28663897,24.08244077,,lake,,,
LTL414,LTL414_3.5.2018,LTL414_2018,3,5,2018,3/5/2018,55.28663897,24.08244077,,lake,,0.61,Good
LTL416,LTL416_7.5.2019,LTL416_2019,7,5,2019,7/5/2019,55.43732593,24.94987793,,lake,,0.75,High
LTL417,LTL417_10.5.2017,LTL417_2017,10,5,2017,10/5/2017,55.85848146,24.97567121,,lake,,0.76,High
LTL417,LTL417_3.5.2022,LTL417_2022,3,5,2022,3/5/2022,55.85848146,24.97567121,,lake,,,
LTL419,LTL419_26.4.2016,LTL419_2016,26,4,2016,26/4/2016,55.36380199,22.14711923,,lake,,0.41,Moderate
LTL419,LTL419_25.4.2023,LTL419_2023,25,4,2023,25/4/2023,55.36380199,22.14711923,,lake,,0.51,Good
LTL420,LTL420_18.4.2018,LTL420_2018,18,4,2018,18/4/2018,55.3837852,22.97284431,,lake,,0.44,Moderate
LTL421,LTL421_21.5.2013,LTL421_2013,21,5,2013,21/5/2013,55.19011451,23.12829019,,lake,,,
LTL422,LTL422_22.5.2013,LTL422_2013,22,5,2013,22/5/2013,55.16295275,22.79996337,,lake,,,
LTL423,LTL423_22.5.2013,LTL423_2013,22,5,2013,22/5/2013,55.09405026,22.72661872,,lake,,,
LTL423,LTL423_31.5.2021,LTL423_2021,31,5,2021,31/5/2021,55.09405026,22.72661872,,lake,,0.46,Moderate
LTL424,LTL424_27.5.2013,LTL424_2013,27,5,2013,27/5/2013,54.89012347,22.91644893,,lake,,,
LTL424,LTL424_31.5.2021,LTL424_2021,31,5,2021,31/5/2021,54.89012347,22.91644893,,lake,,0.81,High
LTL426,LTL426_25.5.2015,LTL426_2015,25,5,2015,25/5/2015,54.2207891,24.91081795,,lake,,0.72,Good
LTL426,LTL426_13.5.2021,LTL426_2021,13,5,2021,13/5/2021,54.2207891,24.91081795,,lake,,0.4,Moderate
LTL427,LTL427_21.5.2013,LTL427_2013,21,5,2013,21/5/2013,55.34801373,22.96875326,,lake,,,
LTL428,LTL428_25.5.2015,LTL428_2015,25,5,2015,25/5/2015,54.24402246,25.21454293,,lake,,0.42,Moderate
LTL428,LTL428_13.5.2021,LTL428_2021,13,5,2021,13/5/2021,54.24402246,25.21454293,,lake,,0.36,Moderate
LTL43,LTL43_30.5.2013,LTL43_2013,30,5,2013,30/5/2013,54.28974036,23.68799547,,lake,,0.5199,Good
LTL43,LTL43_22.5.2017,LTL43_2017,22,5,2017,22/5/2017,54.28974036,23.68799547,,lake,,0.42,Moderate
LTL430,LTL430_16.5.2016,LTL430_2016,16,5,2016,16/5/2016,55.45330566,24.88117924,,lake,,0.46,Moderate
LTL430,LTL430_4.5.2023,LTL430_2023,4,5,2023,4/5/2023,55.45330566,24.88117924,,lake,,0.55,Good
LTL431,LTL431_2.5.2019,LTL431_2019,2,5,2019,2/5/2019,55.52090925,25.63924702,,lake,,0.71,Good
LTL431,LTL431_2.5.2023,LTL431_2023,2,5,2023,2/5/2023,55.52090925,25.63924702,,lake,,0.63,Good
